,r,length_of_url,http_has,suspicious_char,prefix_suffix,dots,slash,phis_term,sub_domain,ip_contain
0,yes,1,1,1,0,1,0,1,0,0
1,yes,0,1,1,1,1,0,0,0,0
2,yes,0,1,1,0,1,0,0,0,0
3,yes,0,1,1,0,1,0,0,1,0
4,yes,0,1,1,0,1,1,0,0,0
5,yes,1,1,1,1,0,1,1,0,0
6,yes,0,1,1,0,1,1,1,1,0
7,yes,0,1,1,0,1,1,0,1,0
8,yes,0,1,1,1,1,1,0,0,0
9,yes,0,1,1,0,1,1,0,0,0
10,yes,0,1,1,0,1,0,0,1,0
11,yes,1,1,1,0,0,0,0,0,0
12,yes,0,1,1,0,1,1,0,0,0
13,yes,0,1,1,0,1,1,0,0,0
14,yes,0,1,1,0,1,1,0,0,0
15,yes,0,1,1,0,1,1,0,0,0
16,yes,1,1,1,1,1,1,1,0,0
17,yes,1,1,1,1,1,1,1,0,0
18,yes,1,1,1,1,1,1,1,0,0
19,yes,1,1,1,1,1,1,1,0,0
20,yes,1,1,1,0,1,0,0,0,0
21,yes,1,1,1,1,1,1,1,0,0
22,yes,1,1,1,1,1,1,1,0,0
23,yes,0,1,1,0,1,1,0,0,0
24,yes,0,1,1,0,1,1,0,0,0
25,yes,1,1,1,0,1,0,0,1,0
26,yes,1,1,1,1,1,1,1,0,0
27,yes,0,1,1,0,1,1,0,0,0
28,yes,0,1,1,0,1,1,0,0,0
29,yes,0,1,1,0,1,1,1,1,0
30,yes,0,1,1,1,1,1,0,0,0
31,yes,1,1,1,1,1,1,1,0,0
32,yes,1,1,1,0,1,0,0,0,0
33,yes,1,1,1,0,0,0,0,0,0
34,yes,0,1,1,0,1,1,0,1,0
35,yes,0,1,1,1,1,1,0,0,0
36,yes,0,1,1,1,1,1,0,0,0
37,yes,1,1,1,0,1,0,0,0,0
38,yes,1,1,1,0,0,0,0,0,0
39,yes,1,1,1,0,0,0,0,0,0
40,yes,1,1,1,1,1,1,1,0,0
41,yes,0,1,1,1,1,1,0,0,0
42,yes,0,1,1,1,1,1,0,0,0
43,yes,1,1,1,1,0,1,1,1,0
44,yes,0,1,1,1,1,1,0,0,0
45,yes,0,1,1,0,1,1,0,0,0
46,yes,0,1,1,0,1,1,0,0,0
47,yes,0,1,1,0,1,1,0,0,0
48,yes,0,1,1,1,1,1,0,0,0
49,yes,0,1,1,1,1,1,0,1,0
50,yes,0,1,1,0,1,0,1,1,0
51,yes,1,1,1,1,1,1,1,1,0
52,yes,0,1,1,0,1,1,0,0,0
53,yes,1,1,1,1,1,0,1,0,0
54,yes,1,1,1,1,1,1,1,0,0
55,yes,1,1,1,0,1,0,0,1,0
56,yes,0,1,1,0,1,1,0,1,0
57,yes,1,1,1,1,1,0,1,0,0
58,yes,0,1,1,0,1,1,0,0,0
59,yes,1,1,1,0,1,0,0,1,0
60,yes,1,1,1,1,1,0,1,0,0
61,yes,0,1,1,0,1,0,0,0,0
62,yes,0,1,1,1,1,1,0,1,0
63,yes,1,1,1,1,1,1,0,1,0
64,yes,1,1,1,0,1,0,0,0,0
65,yes,1,1,1,1,1,0,1,0,0
66,yes,1,1,1,1,1,0,0,0,0
67,yes,0,1,1,0,1,1,0,0,0
68,yes,1,1,1,1,1,1,0,0,0
69,yes,1,1,1,1,1,1,0,0,0
70,yes,0,1,1,1,1,1,1,0,0
71,yes,0,1,1,0,1,1,0,1,0
72,yes,0,1,1,1,1,1,0,0,0
73,yes,1,1,1,1,1,0,1,0,0
74,yes,1,1,1,1,1,1,0,1,0
75,yes,0,1,1,1,1,1,0,1,0
76,yes,1,1,1,1,1,1,1,0,0
77,yes,1,1,1,1,1,1,1,0,0
78,yes,1,1,1,1,1,0,1,0,0
79,yes,1,1,1,0,0,0,1,0,0
80,yes,1,1,1,0,0,0,1,0,0
81,yes,1,1,1,0,0,0,1,0,0
82,yes,1,1,1,1,1,1,1,0,0
83,yes,1,1,1,1,1,0,1,0,0
84,yes,1,1,1,1,1,1,1,0,0
85,yes,1,1,1,1,1,0,1,0,0
86,yes,1,1,1,0,0,0,0,0,0
87,yes,1,1,1,0,1,0,0,1,0
88,yes,0,1,1,1,1,1,0,0,0
89,yes,0,1,1,0,1,1,0,1,0
90,yes,1,1,1,0,1,1,0,0,0
91,yes,1,1,1,0,1,0,0,1,0
92,yes,1,1,1,0,0,0,0,0,0
93,yes,0,1,1,0,1,1,0,0,0
94,yes,0,1,1,1,1,1,1,0,0
95,yes,0,1,1,1,1,1,0,0,0
96,yes,0,1,1,1,1,0,1,1,0
97,yes,1,1,1,0,0,0,0,0,0
98,yes,1,1,1,1,1,1,1,0,0
99,yes,1,1,1,1,1,1,1,0,0
100,yes,1,1,1,1,1,1,1,0,0
101,yes,1,1,1,0,0,0,0,0,0
102,yes,1,1,1,1,1,1,1,0,0
103,yes,1,1,1,1,1,1,1,0,0
104,yes,1,1,1,1,1,1,1,0,0
105,yes,1,1,1,1,1,1,1,0,0
106,yes,1,1,1,1,1,1,1,0,0
107,yes,1,1,1,1,1,1,1,0,0
108,yes,0,1,1,0,1,1,0,0,0
109,yes,1,1,1,1,1,1,0,1,0
110,yes,1,1,1,0,1,0,0,1,0
111,yes,0,1,1,0,1,1,0,0,0
112,yes,1,1,1,0,1,0,0,1,0
113,yes,1,1,1,0,1,0,0,0,0
114,yes,1,1,1,0,1,1,0,0,0
115,yes,0,1,1,1,1,0,1,0,0
116,yes,1,1,1,1,1,0,0,1,0
117,yes,0,1,1,1,1,1,0,1,0
118,yes,1,1,1,0,1,0,0,1,0
119,yes,0,1,1,0,1,0,0,1,0
120,yes,0,1,1,0,1,1,0,0,0
121,yes,0,1,1,0,1,1,0,0,0
122,yes,0,1,1,1,1,0,1,0,0
123,yes,1,1,1,1,1,1,1,0,0
124,yes,1,1,1,0,1,0,0,0,0
125,yes,0,1,1,0,1,0,0,0,0
126,yes,0,1,1,0,1,1,0,1,0
127,yes,1,1,1,1,1,1,1,1,0
128,yes,0,1,1,1,1,1,0,0,0
129,yes,0,1,1,0,1,1,0,0,0
130,yes,0,1,1,0,1,1,1,0,0
131,yes,1,1,1,1,1,1,1,0,0
132,yes,1,1,1,1,1,0,1,1,0
133,yes,1,1,1,1,1,0,1,0,0
134,yes,1,1,1,0,1,1,1,0,0
135,yes,1,1,1,1,1,0,1,1,0
136,yes,1,1,1,1,1,1,1,0,0
137,yes,1,1,1,1,1,1,1,0,0
138,yes,1,1,1,1,1,1,0,0,0
139,yes,1,1,1,1,1,0,0,0,0
140,yes,1,1,1,1,1,0,0,0,0
141,yes,1,1,1,0,1,0,0,1,0
142,yes,0,1,1,0,1,1,0,0,0
143,yes,0,1,1,0,1,0,0,0,0
144,yes,1,1,1,0,1,0,1,1,0
145,yes,0,1,1,1,1,1,0,0,0
146,yes,0,1,1,1,1,0,1,0,0
147,yes,1,1,1,0,0,0,0,0,0
148,yes,1,1,1,1,1,1,1,0,0
149,yes,0,1,1,0,1,1,0,1,0
150,yes,1,1,1,1,1,0,0,1,0
151,yes,1,1,1,1,1,0,1,0,0
152,yes,0,1,1,0,1,1,0,0,0
153,yes,1,1,1,1,1,1,0,1,0
154,yes,1,1,1,1,1,1,0,0,0
155,yes,0,1,1,1,1,1,0,0,0
156,yes,0,1,1,0,1,1,0,0,0
157,yes,1,1,1,0,1,0,0,0,0
158,yes,0,1,1,0,1,1,0,1,0
159,yes,0,1,1,0,1,1,0,0,0
160,yes,0,1,1,1,1,1,0,0,0
161,yes,1,1,1,0,1,0,0,0,0
162,yes,0,1,1,0,1,1,0,1,0
163,yes,1,1,1,1,1,0,0,1,0
164,yes,1,1,1,0,1,0,0,0,0
165,yes,0,1,1,0,1,1,0,0,0
166,yes,0,1,1,1,1,0,0,1,0
167,yes,0,1,1,0,1,1,0,1,0
168,yes,1,1,1,1,1,1,0,1,0
169,yes,0,1,1,0,1,1,0,0,0
170,yes,0,1,1,0,1,1,0,0,0
171,yes,1,1,1,1,1,0,0,1,0
172,yes,1,1,1,0,1,1,0,0,0
173,yes,1,1,1,0,1,0,0,1,0
174,yes,0,1,1,0,1,1,0,1,0
175,yes,1,1,1,0,1,0,0,0,0
176,yes,1,1,1,1,1,0,0,0,0
177,yes,0,1,1,0,1,1,0,1,0
178,yes,0,1,1,1,1,1,0,1,0
179,yes,1,1,1,0,1,0,0,1,0
180,yes,0,1,1,0,1,1,0,1,0
181,yes,0,1,1,0,1,1,0,1,0
182,yes,1,1,1,1,1,1,1,0,0
183,yes,1,1,1,1,1,1,1,0,0
184,yes,1,1,1,1,1,1,1,0,0
185,yes,1,1,1,1,1,0,1,0,0
186,yes,1,1,1,0,1,1,1,0,0
187,yes,1,1,1,0,1,1,1,0,0
188,yes,1,1,1,0,1,1,1,0,0
189,yes,1,1,1,0,1,1,1,0,0
190,yes,1,1,1,0,1,1,1,0,0
191,yes,1,1,1,1,1,1,0,1,0
192,yes,1,1,1,1,1,0,0,0,0
193,yes,1,1,1,1,1,1,1,0,0
194,yes,1,1,1,1,1,1,1,0,0
195,yes,1,1,1,0,1,1,0,0,0
196,yes,0,1,1,0,1,1,0,1,0
197,yes,0,1,1,0,1,1,0,0,0
198,yes,0,1,1,1,1,1,0,1,0
199,yes,1,1,1,0,1,0,0,0,0
200,yes,0,1,1,1,1,1,0,0,0
201,yes,0,1,1,0,1,1,0,0,0
202,yes,0,1,1,1,1,1,0,0,0
203,yes,0,1,1,1,1,1,0,0,0
204,yes,1,1,1,1,1,0,1,0,0
205,yes,0,1,1,0,1,1,1,0,0
206,yes,1,1,1,1,0,1,1,1,0
207,yes,1,1,1,1,1,1,1,0,0
208,yes,1,1,1,1,1,1,1,0,0
209,yes,1,1,1,1,1,1,1,0,0
210,yes,1,1,1,1,1,1,1,0,0
211,yes,1,1,1,1,1,1,1,0,0
212,yes,0,1,1,0,1,1,1,0,0
213,yes,1,1,1,1,1,1,1,0,0
214,yes,1,1,1,1,1,0,1,0,0
215,yes,0,1,1,0,1,1,1,0,0
216,yes,0,1,1,0,1,1,1,0,0
217,yes,0,1,1,0,1,1,1,0,0
218,yes,1,1,1,1,1,1,1,0,0
219,yes,0,1,1,0,1,1,1,0,0
220,yes,0,1,1,0,1,1,1,0,0
221,yes,0,1,1,0,1,1,1,0,0
222,yes,1,1,1,1,1,1,1,0,0
223,yes,0,1,1,0,1,1,1,0,0
224,yes,1,1,1,1,1,1,1,0,0
225,yes,0,1,1,0,1,1,1,0,0
226,yes,1,1,1,0,1,1,1,0,0
227,yes,1,1,1,1,1,1,1,0,0
228,yes,1,1,1,1,1,1,0,1,0
229,yes,0,1,1,0,1,1,0,1,0
230,yes,1,1,1,0,1,0,0,0,0
231,yes,1,1,1,1,1,1,1,0,0
232,yes,1,1,1,0,1,0,0,1,0
233,yes,0,1,1,0,1,1,0,0,0
234,yes,0,1,1,0,1,1,0,1,0
235,yes,1,1,1,0,0,0,0,0,0
236,yes,1,1,1,1,1,0,0,0,0
237,yes,1,1,1,1,1,1,0,1,0
238,yes,0,1,1,1,1,1,0,0,0
239,yes,0,1,1,1,1,1,1,1,0
240,yes,0,1,1,0,1,1,0,0,0
241,yes,0,1,1,0,1,1,0,0,0
242,yes,0,1,1,1,1,1,0,0,0
243,yes,0,1,1,0,1,1,0,1,0
244,yes,0,1,1,0,1,1,0,0,0
245,yes,1,1,1,1,1,0,1,1,0
246,yes,0,1,1,0,1,1,0,0,0
247,yes,1,1,1,1,1,1,1,0,0
248,yes,0,1,1,1,1,1,0,0,0
249,yes,1,1,1,0,1,1,0,1,0
250,yes,0,1,1,0,1,1,0,0,0
251,yes,1,1,1,0,1,0,0,0,0
252,yes,1,1,1,0,1,0,0,0,0
253,yes,1,1,1,0,1,1,0,0,0
254,yes,1,1,1,0,1,1,0,0,0
255,yes,0,1,1,0,1,1,0,0,0
256,yes,1,1,1,1,1,0,0,0,0
257,yes,0,1,1,0,1,1,0,0,0
258,yes,0,1,1,0,1,1,0,1,0
259,yes,0,1,1,1,1,1,0,1,0
260,yes,0,1,1,0,1,1,0,1,0
261,yes,1,1,1,1,0,1,0,0,0
262,yes,0,1,1,0,1,0,0,0,0
263,yes,1,1,1,0,1,0,1,0,0
264,yes,0,1,1,0,1,0,1,0,0
265,yes,0,1,1,1,1,1,0,0,0
266,yes,0,1,1,0,1,1,0,0,0
267,yes,0,1,1,1,1,0,0,0,0
268,yes,0,1,1,1,1,0,0,0,0
269,yes,1,1,1,1,0,0,1,1,0
270,yes,1,1,1,0,1,0,0,1,0
271,yes,1,1,1,0,1,0,1,0,0
272,yes,0,1,1,1,1,1,0,0,0
273,yes,0,1,1,0,1,0,0,0,0
274,yes,0,1,1,0,1,0,0,0,0
275,yes,1,1,1,1,1,1,1,0,0
276,yes,1,1,1,1,1,1,1,0,0
277,yes,1,1,1,1,1,1,1,0,0
278,yes,1,1,1,1,0,1,1,1,0
279,yes,0,1,1,0,1,0,0,0,0
280,yes,0,1,1,0,1,1,0,0,0
281,yes,0,1,1,0,1,1,0,0,0
282,yes,0,1,1,0,1,1,0,1,0
283,yes,0,1,1,0,1,1,0,0,0
284,yes,0,1,1,0,1,1,0,1,0
285,yes,1,1,1,0,1,0,0,1,0
286,yes,0,1,1,0,1,1,1,0,0
287,yes,1,1,1,1,1,1,1,0,0
288,yes,1,1,1,1,1,1,1,0,0
289,yes,1,1,1,1,1,1,1,0,0
290,yes,0,1,1,0,1,1,0,0,0
291,yes,0,1,1,0,1,1,0,1,0
292,yes,0,1,1,0,1,1,0,1,0
293,yes,0,1,1,0,1,1,1,0,0
294,yes,0,1,1,0,1,1,0,1,0
295,yes,0,1,1,0,1,1,0,0,0
296,yes,0,1,1,1,1,0,0,1,0
297,yes,0,1,1,0,1,1,1,1,0
298,yes,1,1,1,0,1,0,0,0,0
299,yes,1,1,1,0,1,0,0,0,0
300,yes,1,1,1,1,1,0,0,1,0
301,yes,1,1,1,1,1,0,0,1,0
302,yes,0,1,1,1,1,1,1,0,0
303,yes,1,1,1,1,1,1,1,0,0
304,yes,1,1,1,0,1,1,0,0,0
305,yes,1,1,1,1,0,1,1,0,0
306,yes,0,1,1,0,1,0,0,0,0
307,yes,1,1,1,0,0,0,1,1,0
308,yes,1,1,1,1,1,1,0,0,0
309,yes,1,1,1,0,1,1,0,0,0
310,yes,1,1,1,1,0,1,1,0,0
311,yes,1,1,1,1,1,1,0,1,0
312,yes,0,1,1,0,1,0,0,1,0
313,yes,0,1,1,1,1,1,0,0,0
314,yes,0,1,1,0,1,0,0,0,0
315,yes,1,1,1,0,1,0,0,1,0
316,yes,1,1,1,0,1,0,0,1,0
317,yes,1,1,1,0,1,1,0,1,0
318,yes,0,1,1,1,1,1,0,0,0
319,yes,1,1,1,0,0,0,0,0,0
320,yes,1,1,1,0,0,0,0,1,0
321,yes,0,1,1,0,1,0,0,1,0
322,yes,0,1,1,0,1,1,0,0,0
323,yes,0,1,1,0,1,1,0,1,0
324,yes,0,1,1,0,1,1,0,0,0
325,yes,1,1,1,0,1,0,0,1,0
326,yes,0,1,1,0,1,1,0,1,0
327,yes,1,1,1,1,1,1,0,1,0
328,yes,0,1,1,0,1,1,0,1,0
329,yes,0,1,1,0,1,1,0,1,0
330,yes,1,1,1,0,1,0,1,0,0
331,yes,1,1,1,0,1,0,1,0,0
332,yes,0,1,1,0,1,1,0,1,0
333,yes,1,1,1,1,1,1,1,0,0
334,yes,1,1,1,1,1,1,1,0,0
335,yes,1,1,1,1,1,1,1,0,0
336,yes,0,1,1,0,1,1,0,0,0
337,yes,1,1,1,0,1,1,0,0,0
338,yes,1,1,1,0,1,0,0,0,0
339,yes,0,1,1,0,1,1,0,0,0
340,yes,1,1,1,0,0,1,0,0,0
341,yes,1,1,1,0,1,1,0,0,0
342,yes,1,1,1,1,1,1,1,0,0
343,yes,1,1,1,1,1,1,1,0,0
344,yes,1,1,1,1,1,1,0,1,0
345,yes,1,1,1,1,0,1,0,0,0
346,yes,0,1,1,0,1,1,0,0,0
347,yes,1,1,1,1,1,1,1,0,0
348,yes,1,1,1,1,1,1,1,0,0
349,yes,1,1,1,1,1,1,1,0,0
350,yes,1,1,1,1,1,1,1,0,0
351,yes,1,1,1,1,1,1,1,0,0
352,yes,1,1,1,1,1,1,1,0,0
353,yes,0,1,1,0,1,1,1,0,0
354,yes,0,1,1,1,1,1,0,1,0
355,yes,1,1,1,1,0,0,1,0,0
356,yes,1,1,1,1,1,0,0,0,0
357,yes,0,1,1,0,1,1,0,0,0
358,yes,0,1,1,0,1,1,0,1,0
359,yes,1,1,1,0,1,0,0,0,0
360,yes,0,1,1,0,1,1,0,0,0
361,yes,0,1,1,0,1,1,0,0,0
362,yes,0,1,1,0,1,0,0,0,0
363,yes,1,1,1,0,1,1,0,0,0
364,yes,0,1,1,1,1,1,0,0,0
365,yes,0,1,1,1,1,1,0,0,0
366,yes,0,1,1,0,1,1,0,0,0
367,yes,1,1,1,1,1,1,0,0,0
368,yes,1,1,1,0,0,0,1,1,0
369,yes,1,1,1,0,0,0,1,1,0
370,yes,1,1,1,0,0,0,1,1,0
371,yes,1,1,1,0,0,0,1,1,0
372,yes,1,1,1,0,0,0,1,1,0
373,yes,1,1,1,0,0,0,1,1,0
374,yes,1,1,1,1,0,0,1,1,0
375,yes,1,1,1,1,1,0,0,0,0
376,yes,0,1,1,1,1,0,0,0,0
377,yes,1,1,1,1,1,0,0,0,0
378,yes,0,1,1,1,1,0,0,0,0
379,yes,0,1,1,0,1,1,0,0,0
380,yes,1,1,1,0,1,0,0,1,0
381,yes,1,1,1,0,1,0,0,1,0
382,yes,0,1,1,0,1,1,1,0,0
383,yes,1,1,1,0,1,0,0,0,0
384,yes,1,1,1,1,1,1,1,0,0
385,yes,0,1,1,0,1,1,0,0,0
386,yes,0,1,1,0,1,1,0,1,0
387,yes,1,1,1,0,1,0,0,0,0
